property,index,n,r,R2,p_value,slope,intercept,std_err
BP,RI,12,0.9628881653271275,0.9271536189270416,5.209053187846917e-07,36.62216106681907,143.5552823362804,3.2461763556885006
BP,RR,12,0.9636864606215549,0.9286915943852998,4.6787040597901773e-07,6.363672803738247,190.06493542673212,0.5576252711823535
BP,H,12,0.9628047372174122,0.9269929620082902,5.267124353472323e-07,36.7355251223272,157.0692550954417,3.260096070318899
BP,SCI,12,0.9647394245067764,0.9307221571976662,4.04578062329735e-07,34.05062278159375,160.69247157911263,2.937732250568035
BP,M1,12,0.963381821111036,0.9281045332472161,4.875765135937696e-07,3.1644889099911824,182.19631553957805,0.27851967825946783
BP,M2,12,0.9580699458497938,0.9178980211406268,9.512245266910622e-07,2.5071159210662257,212.73542376967316,0.23711226025939483
BP,HM,12,0.9576795447487644,0.9171501104302006,9.956814069970003e-07,0.6192196237832248,201.1391099030888,0.05885325220751034
BP,RM2,12,0.9462517573730117,0.895392388331513,3.2267444548868846e-06,6.752045323602842,260.9301965303117,0.7298108121085393
BP,F,12,0.9567477425756691,0.9153662429236388,1.1084778698270817e-06,1.2222737728566417,190.3240945066084,0.11752840898181928
BP,HF,12,0.937113132612045,0.8781810233139602,6.9659193542637154e-06,0.0848074212962955,226.51958718596057,0.009988477770238917
VP,RI,12,,,,0.0,0.0,
VP,RR,12,,,,0.0,0.0,
VP,H,12,,,,0.0,0.0,
VP,SCI,12,,,,0.0,0.0,
VP,M1,12,,,,0.0,0.0,
VP,M2,12,,,,0.0,0.0,
VP,HM,12,,,,0.0,0.0,
VP,RM2,12,,,,0.0,0.0,
VP,F,12,,,,0.0,0.0,
VP,HF,12,,,,0.0,0.0,
EV,RI,12,0.9643500346027015,0.9299709892382316,4.2713505018755463e-07,4.601773233281971,36.92837537481543,0.3993277664120245
EV,RR,12,0.9612520554282632,0.9240055140650608,6.445230187331367e-07,0.7964009320540947,42.99524965293726,0.07222466214264468
EV,H,12,0.9650567963215435,0.9313346201264011,3.8690271431263695e-07,4.619801347938028,38.57788490870711,0.39667912007245587
EV,SCI,12,0.9649817395740118,0.9311897577112859,3.910262912869255e-07,4.2732324927534835,39.156189444997715,0.36733640409357854
EV,M1,12,0.9602631292668315,0.9221052774293277,7.298552753217038e-07,0.39574713423319546,42.050362884080585,0.036373202653006274
EV,M2,12,0.9554960610883455,0.9129727227553432,1.2757160570650016e-06,0.31371009401797706,45.84079105968248,0.030628610144453904
EV,HM,12,0.9539601239219794,0.9100399180332382,1.507652615653852e-06,0.0773886222467985,44.454026797836704,0.007694347826109272
EV,RM2,12,0.9454400425948848,0.8938568741418176,3.4730693937118428e-06,0.8464182830804686,51.786870238781134,0.09223526082090404
EV,F,12,0.9519119689283385,0.9061363965890261,1.8676953209469014e-06,0.1525774063213709,43.16680736501475,0.015528948578817462
EV,HF,12,0.932528696560093,0.8696097699080659,9.825883479509595e-06,0.010588304757559557,47.676925309506174,0.0012965424888806009
FP,RI,12,0.9298263049962511,0.8645769574629814,1.1902530590636717e-05,23.713065114052284,12.083976626925903,2.967783042077228
FP,RR,12,0.9239916381626827,0.853760547394558,1.7568338171121384e-05,4.091267457497838,44.21626505574778,0.5354539255482834
FP,H,12,0.9291609353975854,0.8633400438689158,1.2463408156837515e-05,23.771507420980488,21.02652690385071,2.9907934335210817
FP,SCI,12,0.9294509670753885,0.863879100197375,1.221641486510857e-05,21.99678767068913,23.884329621787174,2.761182960765508
FP,M1,12,0.9240616662608508,0.8538899630527801,1.7489658511425854e-05,2.0352784372244455,39.044860611815864,0.2662336231100569
FP,M2,12,0.9159044422980656,0.8388809474213305,2.872447165671118e-05,1.6071081723318525,59.57837672624589,0.22272470574484865
FP,HM,12,0.9161544463583086,0.8393389695820989,2.8312216427406103e-05,0.39720155461303674,51.95825935482719,0.05495377356835215
FP,RM2,12,0.9004471393295184,0.810805050726713,6.502248520098975e-05,4.308286921451892,91.55669611420527,0.6581140536889312
FP,F,12,0.9158718049925061,0.8388211631802311,2.877863740868494e-05,0.7845551586088305,44.83379058586473,0.10875338950365361
FP,HF,12,0.8928197471638997,0.7971271009258097,9.281599280329355e-05,0.054178049707056565,69.29251714830122,0.008643140995028133
MR,RI,13,0.9928598165181118,0.9857706152563787,1.6464232309916762e-11,7.542809150292935,2.7189909610288083,0.2732385070479307
MR,RR,13,0.9774892464587327,0.9554852269424611,8.841031296759144e-09,1.2904550647094457,13.755184667723526,0.08398208206152459
MR,H,13,0.9925052678145609,0.9850667066396533,2.1478532583841065e-11,7.61951384111783,5.02085390448147,0.2828628400958404
MR,SCI,13,0.99024485039574,0.9805848637352814,9.115014262734822e-11,7.000086090410705,6.507499924490659,0.2969851044998992
MR,M1,13,0.9770185891021509,0.9545653234511575,9.89776006348544e-09,0.6382230936621633,12.518061474295052,0.041982381005086535
MR,M2,13,0.9657245249905518,0.932623858168227,8.728336863771669e-08,0.5069530546670863,18.71370190372329,0.04108385712114776
MR,HM,13,0.9652227852955966,0.9316550252537893,9.445463286302182e-08,0.12416701829337976,16.877185755601857,0.010139945900551206
MR,RM2,13,0.9444371520351886,0.891961534144338,1.1937824462479873e-06,1.3719558333099797,28.589235770534984,0.1439659970618969
MR,F,13,0.9635935325554699,0.9285124959827293,1.211205840574816e-07,0.24281753233172995,15.32784880151658,0.020314441607799945
MR,HF,13,0.9365715083961911,0.8771661903395166,2.435107627982809e-06,0.01680893965550223,22.90077979148846,0.0018965399455142075
ST,RI,13,0.6458421447891979,0.4171120759859112,0.017101714233599723,1.5730655659465378,37.402731608648466,0.5606820198288208
ST,RR,13,0.6429069963746316,0.4133294059874505,0.017780746092989113,0.2721161437059863,39.49248273352086,0.0977477959120685
ST,H,13,0.6467549503359655,0.41829196578407724,0.01689455074375423,1.591876827922437,37.84578365747114,0.5660123247349055
ST,SCI,13,0.6442949196621047,0.415115943502398,0.017457193243777074,1.4602282734842655,38.18791750544568,0.5226062450593592
ST,M1,13,0.6414227964362287,0.4114232037880717,0.018131678129986603,0.13433504850847763,39.267340647384174,0.04844513509903289
ST,M2,13,0.6435211258480811,0.4141194394127818,0.017637032343580036,0.1083060083292468,40.298251809671584,0.038841674360494925
ST,HM,13,0.6412142189900624,0.41115567463503566,0.01818140661026097,0.02644582311418198,39.96377137231116,0.009542405087280124
ST,RM2,13,0.6440778409591176,0.41483626521455835,0.01750750599576148,0.29997197545049464,42.02464198638007,0.10741988529526277
ST,F,13,0.6382370965627296,0.40734659142882307,0.018902358039550708,0.051563627900073544,39.69044788806508,0.018752771987360136
ST,HF,13,0.6346761335115705,0.40281379444919685,0.0197924470138672,0.0036519666354411047,40.89464706572008,0.0013407048329607037
MV,RI,13,0.9397241227103318,0.8830814268037027,1.8510320402484548e-06,17.487327350950498,55.87374196707688,1.918529472930153
MV,RR,13,0.9038098267129713,0.8168722028629312,2.2554042655807243e-05,2.922710745922361,86.35673148494197,0.4172434910752903
MV,H,13,0.9360313768041684,0.876154738361907,2.5486765348710146e-06,17.60202883627816,62.04050289119385,1.9953343360671272
MV,SCI,13,0.9303254856427563,0.8655055092364303,4.0323691910110354e-06,16.10918563832468,66.34744862641793,1.914672822410054
MV,M1,13,0.905616934764626,0.8201420325324769,2.03926672252661e-05,1.4490791322876055,83.03373832623083,0.20460491652100193
MV,M2,13,0.8828297346947659,0.7793883404612307,6.403411781299385e-05,1.1351919825510333,99.80339866936987,0.18210012803663408
MV,HM,13,0.8859626330844557,0.7849297872219418,5.5511899841302685e-05,0.2791720729273803,94.88589765904518,0.04406059482907001
MV,RM2,13,0.8451572674897418,0.7142908067907271,0.00027507330281423606,3.0073396295154553,125.53626376705995,0.5734700109195244
MV,F,13,0.8879171095339309,0.7883967934030907,5.067367279153824e-05,0.5480705529957027,90.61419222959066,0.08561085291824062
MV,HF,13,0.8483214840931002,0.7196493403739199,0.00024712180871628756,0.037293893073476074,110.8707648088313,0.007018296374801231
