Drug,BP,VP,EV,FP,MR,ST,MV,SMILES,PubChem_CID
Apixaban,770.5,0.0,112.2,419.8,125.6,61.0,323.4,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N,10182969
Aspirin,321.4,0.0,59.5,131.2,44.5,49.9,139.6,CC(=O)OC1=CC=CC=C1C(=O)O,2244
Atenolol,508.0,0.0,81.9,261.1,74.3,45.0,236.7,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,2249
Candesartan,754.8,0.0,115.4,410.3,122.5,59.6,310.5,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)O,2541
Captopril,427.0,0.0,74.8,212.1,54.4,54.3,170.7,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,44093
Carvedilol,655.2,0.0,101.4,350.1,119.6,53.9,325.1,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,2585
Dipyridamole,806.5,0.0,122.9,441.5,139.4,81.6,373.0,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,3108
Edoxaban,, , , ,139.1,73.3,383.2,CN1CCC2=C(C1)SC(=N2)C(=O)N[C@@H]3C[C@H](CC[C@@H]3NC(=O)C(=O)NC4=NC=C(C=C4)Cl)C(=O)N(C)C,10280735
Quinapril,662.0,0.0,102.3,354.1,119.5,52.3,360.1,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3=CC=CC=C3C[C@H]2C(=O)O,54892
Ramipril,616.2,0.0,96.1,326.4,111.4,50.2,346.8,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2[C@H]3CCC[C@H]3C[C@H]2C(=O)O,5362129
Rivaroxaban,732.6,0.0,106.9,396.9,106.7,61.0,298.5,C1COCC(=O)N1C2=CC=C(C=C2)N3C[C@@H](OC3=O)CNC(=O)C4=CC=C(S4)Cl,9875401
Ticagrelor,777.6,0.0,118.7,424.0,126.3,63.3,311.9,CCCSC1=NC(=C2C(=N1)N(N=N2)[C@@H]3C[C@@H]([C@H]([C@H]3O)O)OCCO)N[C@@H]4C[C@H]4C5=CC(=C(C=C5)F)F,9871419
Warfarin,515.2,0.0,82.9,188.8,84.4,58.7,235.8,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,54678486
